"SKU","Name","Variant","Category","Cost Price","Selling Price","Stock","Barcode","image_url"
"MHHi12","Manhole Cover Star 12x12","Manhole","Accessories","400","400","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"MHMF24","Manhole Master Plus 24x24","Manhole","Accessories","5000","5000","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"MHA16","Manhole Strainer 6x6","Manhole","Accessories","250","250","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"MR","Mirror","General","Accessories","430","430","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"MEA","Mixer Elbow PPR ACCUFIT 25x1/2","PPR","Sanitary Fittings","251","348","420","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"MEM","Mixer Elbow PPR Master 25x1/2","PPR","Sanitary Fittings","200","334","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"NRV","Non Return Valve 1/2","Tap/Valve","Accessories","370","370","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"PT3","P Trap PVC 3in","PPR","Sanitary Fittings","165","275","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PT4","P Trap PVC 4in","PPR","Sanitary Fittings","360","600","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PA1625","PIPE PPR ACCUFIT 25mm PN16","PPR","Pipes & Fittings","287","455","597","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PA2025","PIPE PPR ACCUFIT 25mm PN20","PPR","Pipes & Fittings","328","520","949","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PA1632","PIPE PPR ACCUFIT 32mm PN16","PPR","Pipes & Fittings","452","718","697","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PA2032","PIPE PPR ACCUFIT 32mm PN20","PPR","Pipes & Fittings","534","848","1157","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PM1625","PIPE PPR Master 25mm PN16","PPR","Pipes & Fittings","394","750","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PM2025","PIPE PPR Master 25mm PN20","PPR","Pipes & Fittings","441","840","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PM1632","PIPE PPR Master 32mm PN16","PPR","Pipes & Fittings","656","1250","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PM2032","PIPE PPR Master 32mm PN20","PPR","Pipes & Fittings","735","1400","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PN10","Pipe Nipple 1/2 10in","GI/Brass","Sanitary Fittings","80","80","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PN12","Pipe Nipple 1/2 12in","GI/Brass","Sanitary Fittings","100","100","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PN4","Pipe Nipple 1/2 4in","GI/Brass","Sanitary Fittings","40","40","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PN5","Pipe Nipple 1/2 5in","GI/Brass","Sanitary Fittings","50","50","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PN6","Pipe Nipple 1/2 6in","GI/Brass","Sanitary Fittings","60","60","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PN8","Pipe Nipple 1/2 8in","GI/Brass","Sanitary Fittings","70","70","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PN44","Pipe Nipple 3/4 4in","GI/Brass","Sanitary Fittings","70","70","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PN45","Pipe Nipple 3/4 5in","GI/Brass","Sanitary Fittings","80","80","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PN46","Pipe Nipple 3/4 6in","GI/Brass","Sanitary Fittings","90","90","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PN47","Pipe Nipple 3/4 7in","GI/Brass","Sanitary Fittings","100","100","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PN48","Pipe Nipple 3/4 8in","GI/Brass","Sanitary Fittings","110","110","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PN16-25MM","Pipe PN16 25mm","PPR","Pipes & Fittings","794","1513","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PN16-32MM","Pipe PN16 32mm","PPR","Pipes & Fittings","1319","2512","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PN16-40MM","Pipe PN16 40mm","PPR","Pipes & Fittings","1928","3673","3","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PN20-110MM","Pipe PN20 110mm","PPR","Pipes & Fittings","17543","33415","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PN20-20MM","Pipe PN20 20mm","PPR","Pipes & Fittings","585","1114","1","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PN20-25MM","Pipe PN20 25mm","PPR","Pipes & Fittings","896","1706","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PN20-32MM","Pipe PN20 32mm","PPR","Pipes & Fittings","1538","2929","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PN20-40MM","Pipe PN20 40mm","PPR","Pipes & Fittings","2261","4307","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PN20-50MM","Pipe PN20 50mm","PPR","Pipes & Fittings","3844","7322","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PN20-63MM","Pipe PN20 63mm","PPR","Pipes & Fittings","6081","11582","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PN20-75MM","Pipe PN20 75mm","PPR","Pipes & Fittings","9906","18869","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PN20-90MM","Pipe PN20 90mm","PPR","Pipes & Fittings","13919","26512","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PLA","Plug ACCUFIT 1/2","PPR","Sanitary Fittings","7","10","20","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PLA32","Plug ACCUFIT 3/4","PPR","Sanitary Fittings","11","15","32","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PLE3","Plug Elbow PVC 3in","PPR","Sanitary Fittings","126","210","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PLE4","Plug Elbow PVC 4in","PPR","Sanitary Fittings","156","260","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PLM25","Plug Master 1/2","PPR","Sanitary Fittings","9","15","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PLM32","Plug Master 3/4","PPR","Sanitary Fittings","12","20","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PLT3","Plug Tee MFit 3in","PPR","Sanitary Fittings","108","180","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"PLT4","Plug Tee PVC 4in","PPR","Sanitary Fittings","198","330","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"RP","Rawal Plug","Hardware","Accessories","1","1","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"SF12","Screw Fastener 1.5in","Hardware","Accessories","40","40","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"Sf1","Screw Fastener 1in","Hardware","Accessories","30","30","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"SF22","Screw Fastener 2.5in","Hardware","Accessories","100","100","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"SF2","Screw Fastener 2in","Hardware","Accessories","80","80","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"SNC","Shower Neck Chrome","Tap/Valve","Accessories","160","160","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"SPCYS","Single Pillar Cock Tempo","Tap/Valve","Accessories","850","850","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"SBSQ","Sink Bowl Square","Bathroom","Accessories","1650","1650","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"SCSYS","Sink Cock Single YS","Tap/Valve","Accessories","800","800","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"SMC","Sink Mixer China","Tap/Valve","Accessories","2200","2200","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"SMYS","Sink Mixer YS","Tap/Valve","Accessories","1450","1450","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"SSNCH","Sink Shower Neck Chrome","Tap/Valve","Accessories","350","350","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
