"SKU","Name","Variant","Category","Cost Price","Selling Price","Stock","Barcode","image_url"
"PS2U","UPVC Pipe Sewerage 2in","UPVC","Pipes & Fittings","550","550","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PS3U","UPVC Pipe Sewerage 3in","UPVC","Pipes & Fittings","800","800","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"PPS4","UPVC Pipe Sewerage 4in","UPVC","Pipes & Fittings","1000","1000","0","","https://www.sanitary.pk/admin/assets/uploaded_images/pipes%20and%20fitting.jpeg"
"UA25","Union ACCUFIT 25mm","PPR","Sanitary Fittings","68","95","139","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"UA32","Union ACCUFIT 32mm","PPR","Sanitary Fittings","104","145","204","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"UM25","Union Master 25mm","PPR","Sanitary Fittings","39","65","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"UM32","Union Master 32mm","PPR","Sanitary Fittings","57","95","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"UVA25","Union Valve ACCUFIT 25mm","PPR","Sanitary Fittings","563","782","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"UVA32","Union Valve ACCUFIT 32mm","PPR","Sanitary Fittings","799","1110","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"UVM25","Union Valve Master 25mm","PPR","Sanitary Fittings","270","450","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"UVM32","Union Valve Master 32mm","PPR","Sanitary Fittings","330","550","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"VMC","Vanity Mixer China","Tap/Valve","Accessories","2000","2000","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"WC","WC Thai Medium","Ceramic","Ceramics","1360","1360","0","","https://www.sanitary.pk/admin/assets/uploaded_images/toilets.jpeg"
"WB","Wash Basin Styilo","Ceramic","Ceramics","3200","3200","0","","https://www.sanitary.pk/admin/assets/uploaded_images/toilets.jpeg"
"WP","Waste Pipe","General","Accessories","80","80","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"WN2","Water Nozzle 1/2","Tap/Valve","Sanitary Fittings","30","30","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"WN1","Water Nozzle 1in","Tap/Valve","Sanitary Fittings","50","50","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"WN4","Water Nozzle 3/4","Tap/Valve","Sanitary Fittings","40","40","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"WTLOFT-250","Water Tank Accufit Loft 250L","Loft","Water Tanks","24500","24500","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTLOFT-325","Water Tank Accufit Loft 325L","Loft","Water Tanks","28900","28900","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTLOFT-425","Water Tank Accufit Loft 425L","Loft","Water Tanks","33400","33400","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTLOFT-525","Water Tank Accufit Loft 525L","Loft","Water Tanks","40100","40100","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTLOFT-625","Water Tank Accufit Loft 625L","Loft","Water Tanks","46800","46800","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTLOFT-750","Water Tank Accufit Loft 750L","Loft","Water Tanks","51200","51200","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAR-1000","Water Tank Atlas Red 1000L","Atlas Red","Water Tanks","12590","16051","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAR-1200","Water Tank Atlas Red 1200L","Atlas Red","Water Tanks","14802","18870","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAR-1500","Water Tank Atlas Red 1500L","Atlas Red","Water Tanks","18142","23129","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAR-2000","Water Tank Atlas Red 2000L","Atlas Red","Water Tanks","23677","30185","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAR-300","Water Tank Atlas Red 300L","Atlas Red","Water Tanks","5386","6866","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAR-400","Water Tank Atlas Red 400L","Atlas Red","Water Tanks","5746","7325","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAR-600","Water Tank Atlas Red 600L","Atlas Red","Water Tanks","7180","9154","2","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAR-750","Water Tank Atlas Red 750L","Atlas Red","Water Tanks","10054","12818","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAB-1000","Water Tank Blue Supreme 1000L","Blue Supreme","Water Tanks","17046","17868","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAB-1200","Water Tank Blue Supreme 1200L","Blue Supreme","Water Tanks","22148","23216","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAB-1500","Water Tank Blue Supreme 1500L","Blue Supreme","Water Tanks","26402","27675","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAB-2000","Water Tank Blue Supreme 2000L","Blue Supreme","Water Tanks","31511","33030","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAB-300","Water Tank Blue Supreme 300L","Blue Supreme","Water Tanks","7670","8040","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAB-400","Water Tank Blue Supreme 400L","Blue Supreme","Water Tanks","8519","8930","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAB-600","Water Tank Blue Supreme 600L","Blue Supreme","Water Tanks","10227","10720","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAB-750","Water Tank Blue Supreme 750L","Blue Supreme","Water Tanks","13637","14295","3","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAG-1000","Water Tank Green Medium 1000L","Green Medium","Water Tanks","13581","35590","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAG-1200","Water Tank Green Medium 1200L","Green Medium","Water Tanks","15978","41872","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAG-1500","Water Tank Green Medium 1500L","Green Medium","Water Tanks","19576","51299","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAG-2000","Water Tank Green Medium 2000L","Green Medium","Water Tanks","25586","67049","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAG-300","Water Tank Green Medium 300L","Green Medium","Water Tanks","5816","15240","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAG-400","Water Tank Green Medium 400L","Green Medium","Water Tanks","6199","16245","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAG-600","Water Tank Green Medium 600L","Green Medium","Water Tanks","7754","20321","0","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"WTAG-750","Water Tank Green Medium 750L","Green Medium","Water Tanks","10850","28433","2","","https://www.sanitary.pk/admin/assets/uploaded_images/hdpe%20pipes.jpeg"
"YT3","Y Tee PVC 3in","PPR","Sanitary Fittings","129","215","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"YT4","Y Tee PVC 4in","PPR","Sanitary Fittings","294","490","0",,"https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
